movieId,tmdbId,original_title,description
1,862.0,Toy Story,Led by Woody Andys toys live happily in his room until Andys birthday brings Buzz Lightyear onto the scene  Afraid of losing his place in Andys heart Woody plots against Buzz  But when circumstances separate Buzz and Woody from their owner the duo eventually learns to put aside their differences   Adventure Animation Children Comedy Fantasy en
2,8844.0,Jumanji,When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world they unwittingly invite Alan  an adult whos been trapped inside the game for 26 years  into their living room  Alans only hope for freedom is to finish the game which proves risky as all three find themselves running from giant rhinoceroses evil monkeys and other terrifying creatures  Roll the dice and unleash the excitement Adventure Children Fantasy en
3,15602.0,Grumpier Old Men,A family wedding reignites the ancient feud between nextdoor neighbors and fishing buddies John and Max  Meanwhile a sultry Italian divorcée opens a restaurant at the local bait shop alarming the locals who worry shell scare the fish away  But shes less interested in seafood than she is in cooking up a hot time with Max  Still Yelling  Still Fighting  Still Ready for Love  Comedy Romance en
4,31357.0,Waiting to Exhale,Cheated on mistreated and stepped on the women are holding their breath waiting for the elusive good man to break a string of lessthanstellar lovers  Friends and confidants Vannah Bernie Glo and Robin talk it all out determined to find a better way to breathe  Friends are the people who let you be yourself    and never let you forget it  Comedy Drama Romance en
5,11862.0,Father of the Bride Part II,Just when George Banks has recovered from his daughters wedding he receives the news that shes pregnant     and that Georges wife Nina is expecting too  He was planning on selling their home but thats a plan that  like George  will have to change with the arrival of both a grandchild and a kid of his own  Just When His World Is Back To Normal    Hes In For The Surprise Of His Life Comedy en
6,949.0,Heat,Obsessive master thief Neil McCauley leads a topnotch crew on various insane heists throughout Los Angeles while a mentally unstable detective Vincent Hanna pursues him without rest  Each man recognizes and respects the ability and the dedication of the other even though they are aware their catandmouse game may end in violence  A Los Angeles Crime Saga Action Crime Thriller en
7,11860.0,Sabrina,An ugly duckling having undergone a remarkable change still harbors feelings for her crush a carefree playboy but not before his businessfocused brother has something to say about it  You are cordially invited to the most surprising merger of the year  Comedy Romance en
8,45325.0,Tom and Huck,A mischievous young boy Tom Sawyer witnesses a murder by the deadly Injun Joe  Tom becomes friends with Huckleberry Finn a boy with no future and no family  Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder  Tom and Huck go through several adventures trying to retrieve evidence  The Original Bad Boys  Adventure Children en
9,9091.0,Sudden Death,International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tensionpacked suspense thriller set against the backdrop of a Stanley Cup game Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game  With the captors demanding a billion dollars by games end Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer    Terror goes into overtime  Action en
10,710.0,GoldenEye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain  No limits  No fears  No substitutes  Action Adventure Thriller en
11,9087.0,The American President,Widowed U S  president Andrew Shepherd one of the worlds most powerful men can have anything he wants  and what he covets most is Sydney Ellen Wade a Washington lobbyist  But Shepherds attempts at courting her spark wild rumors and decimate his approval ratings  Why cant the most powerful man in the world have the one thing he wants most Comedy Drama Romance en
12,12110.0,Dracula: Dead and Loving It,When a lawyer shows up at the vampires doorstep he falls prey to his charms and joins him in his search for fresh blood  Enter Dr  van Helsing who may be the only one able to vanquish the count   Comedy Horror en
13,21032.0,Balto,An outcast halfwolf risks his life to prevent a deadly epidemic from ravaging Nome Alaska  Part Dog  Part Wolf  All Hero  Adventure Animation Children en
14,10858.0,Nixon,An allstar cast powers this epic look at American President Richard M  Nixon a man carrying the fate of the world on his shoulders while battling the selfdestructive demands within  Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency  Triumphant in Victory Bitter in Defeat  He Changed the World But Lost a Nation  Drama en
15,1408.0,Cutthroat Island,Morgan Adams and her slave William Shaw are on a quest to recover the three portions of a treasure map  Unfortunately the final portion is held by her murderous uncle Dawg  Her crew is skeptical of her leadership abilities so she must complete her quest before they mutiny against her  This is made yet more difficult by the efforts of the British crown to end her pirate raids  The Course Has Been Set  There Is No Turning Back  Prepare Your Weapons  Summon Your Courage  Discover the Adventure of a Lifetime Action Adventure Romance en
16,524.0,Casino,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly  No one stays at the top forever  Crime Drama en
17,4584.0,Sense and Sensibility,Rich Mr  Dashwood dies leaving his second wife and her daughters poor by the rules of inheritance  Two daughters are the titular opposites  Lose your heart and come to your senses  Drama Romance en
18,5.0,Four Rooms,Its Ted the Bellhops first night on the job   and the hotels very unusual guests are about to place him in some outrageous predicaments  It seems that this evenings room service is serving up one unbelievable happening after another  Twelve outrageous guests  Four scandalous requests  And one lone bellhop in his first day on the job whos in for the wildest New years Eve of his life  Comedy en
19,9273.0,Ace Ventura: When Nature Calls,Summoned from an ashram in Tibet Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka the missing sacred animal of the friendly Wachati tribe  He must accomplish this before the wedding of the Wachatis Princess to the prince of the warrior Wachootoos  If Ace fails the result will be a vicious tribal war  New animals  New adventures  Same hair  Comedy en
20,11517.0,Money Train,A vengeful New York transit cop decides to steal a trainload of subway fares his foster brother a fellow cop tries to protect him  Get on or GET OUT THE WAY Action Comedy Crime Drama Thriller en
